,user_name,teks
120,RizkyRisksky,"@detikcom @mohmahfudmd sedang melawak emang. 

Yang rusuh di tengah lapangan, yang di tribun diberi gas air mata. Biar turun ke lapangan mencari udara segar untuk dikepruki."
121,guna1243,"RT @Im00568047: Indikator :
✅ bukan rusuh antar supporter tpi antara supporter dg aparat keamanan. 
✅ gas air mata ditembakkan ke semua ara…"
122,Shuggie60147641,"@5chatzi @Dirty_Stones @nandakurniaff @MusuhMisuh @jupermen @alphatethaa @rizalbudiart @bulbulgummm @LayananFacebook @D_sember2 @fiamaulana @murszid @iamaremaa @Bimantara25 Balik lagi ke poin paling awal 🤣🤣🤪

Ada perbandingan yg tepat
1. Kalau aparat tidak menggunakan gas air mata, kemungkinan nya tetap ada 2: korban berkurang atau korban bertambah
2. Kalau supporter tidak rusuh, kemungkinannya cuma 1, tidak akan ada korban."
123,Sipalingngntukk,"RT @arfian_azz: @iriawan84 Malu pak kalo fifa tau, make gas air mata di blg nya udh sesuai prosedur, padahal dilarang fifa, gamungkin org d…"
124,Wencena3,@Be__rian yg salah siapa kalau begini masak mereka rusuh ibu2 bawak bayi rusuk kan gak mungkin ... tolong lah jangan salah kan penonton loh... gak bakal banyak korban segitu... loh... kalau gak ada gas air mata... @jokowi ini kado dari TNI kita... 😭
125,nevertheless_d1,"RT @_melody_mellow: Terbukti &amp; Fakta bhw 125 lebih suporter Aremania adalah korban tewas akibat Gas Air Mata yg ditembakkan polisi

Tetap a…"
126,Qshareina,"@keuangannews_id Kewalahan Kok nembaknya ketribun yg isisnya ada ibu2 dan anak2, kan katanya yg rusuh ygpda turun kelapangan kenapa gak fokus tembakin kelapangan aja, wlpun sebenarnya FIFA sendiri melarang adanya gas air mata didalam stadion"
127,guna1243,"RT @bayo3103: Rusuh massal antara supporter dg aparat pengaman, bukan antar supporter tim, adalah hal yg tdk lazim terjadi. Dan perlakuan b…"
128,fplestari14,"@didihadid_ Aparatnya pd kesulut emosi, bukan yg bnr2 tau gmn cara hadapi jika ada kejadian supporter masuk ke lapangan. Udh SOP mereka tiap demo kykny, ""rusuh"" lgsg tembak gas air mata. Rusuhnya pun dimaknai sesuka mereka. Ga ada patokan."
129,roses_galang,"@wagiorou @KITAHARUSPINTAR masa di kejar aja udah pada kabur kenapa harus di tembak gas air mata , pintu keluar di kunci masuk ke lapangan lagi di sabetin tapi tribun di tembakin terus menerus yang meninggal belom tentu yang rusuh 1 stadion kalo semua rusuh udah ancur itu semua yang di stadion"
130,firman_mellody,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
131,oedhik,"@iwanmahe @fitriya0510 @Babyyme7 @dihadynata @NarasiNewsroom Kejadian sebelumnya persebaya di sidoarjo, rusuh juga tapi tanpa gas air mata dan alhamdulillah tanpa korban jiwa juga kan
Secara saya tinggal di sidoarjo rusaknya stadion juga parah
🙏🙏🏻🙏🏿"
132,KurniawanEri4,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
133,rantigabelas_,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
134,Moh_HamzahSidik,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
135,vecga75,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
136,rahalwicak27,"RT @Alfianwisnu087: Enarupes opini mu iku tendensius, memang suporter endi sing rusuh sebelum gas air mata di tembakkan? Terus suporter man…"
137,Alfianwisnu087,"Enarupes opini mu iku tendensius, memang suporter endi sing rusuh sebelum gas air mata di tembakkan? Terus suporter mana yg menyerang tim mu persebaya sedangkan pemain mu langsung mlebu kabeh ketika peluit panjang? 

Lek sek dendam lebih baik meneng ae.🙏 https://t.co/3ZKGeEUF4U"
138,ainidmonica,"RT @dede_dedot96: @ikhwan_AP Serusuh rusuh nya dilapangan silahkan selesaikan dilapangan, tempatnya luas..mau lu pukulin, tendangin, tembak…"
139,patri1234578,"@AbiZuliyan @MalihDhakal @pandji @stywnyudha Di balik lagi,,,,,klo ngak rusuh apa bklan ada gas air mata,,suporter turun juga udah ngejar"" pemain,mlah yg udah naik rantis ajah di hantemin pke batu,,klo di biarin gtu ajah,bia jamin emang suporter yg trun gak makin brutal,,orang udah lempar sna lempar sni,ntinya smua slah kog"
140,BONEKSUKODADI,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
141,mbaupeh,"Aku pernah liat pitch invander di stadion or u called it rusuh, pernah juga berada di tengah massa yg ditembaki gas air mata. Jadi yg bilang ku beropini ga pake otak, sini maju!!! 🤬 https://t.co/yY3JxlFdf0"
142,RasyidMwildan,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
143,NugroDwi,"@Re__911 @ronny_forever Saya pernah punya pengalaman sesak ya gas air mata itu, Dan rusuh ya fans/penonton. Memang petugas harus punya SOP yang baik Dan aman, Dan Jumlah yg cukup untuk antisipasi Jumlah penonton"
144,JL74100789,"@adib_munjir @PelatihBart YA AMAN TOLOLLLLLLL 
PERSEBAYA RUSUH LAWAN RANS PAKE GAS AIR MATA

GK ADA KORBAN...GOVLOKKKKK"
145,ricciammar,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
146,hitsviraltv,"@gambar2dimensi @vicaldwin Polisi ga punya gas air mata, yg punya tuh brimop , baca informasi yg bener bego tolol, klo brimop sampe turun berarti rusuh nya Sdh keterlaluan, g mgkin suporter diem2 di siram gas, mikir otak2 tai bego"
147,Rwijaya666,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
148,Gus_Arifin,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
149,One_thousanddd,"@adyorangga @MalihDhakal @pandji @stywnyudha Suporter masuk lapangan nggak sebanding sama 100 lebih nyawa melayang, logika macam apa yang di pakai? Yang punya andil itu yang nyemrot gas air mata ke tribun, padahal di tribun nggak ada yang rusuh."
150,nachos_tachos,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
151,Loh_Rudy,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
152,YareY4r3Daze,"@BlueHooligan___ Bagus juga penanganannya, ini juga contoh cara penanganannya yg baik saat sampai ada yg rusuh, polisinya langsung bikin barikade defend, biarin penonton ngamuk2, utk mundurin, tinggal gertak sambil maju, terus gas air mata diganti sama water cannon 
https://t.co/eUSNGQsYWY"
153,callher_el,"@toptobs @davidnurbianto isilop bner2 gblk lempar gas air mata ngebunuh orang yg ga salah, pertanyaanku, itu yg turun lapangan pertama kali ngerasa bersalah ga sih? dia emg ga rusuh tp dia pemicu, dia psti dah tau kl dia bakal di amankan, tp dy mngkn g tau klau bs jd se parah ini 🥀"
154,MalatiPuspalia,RT @khaidir_Tr: @jayapuraupdate @maspiyuaja Itu foto lama min di GBK waktu Persija vs Arema. Gak usah jauh jauh min ini vidio belum ada seb…
155,wongkalibanteng,"RT @NyiMasRuminah: @liquiidcocaine @pandji Kejadian di Kanjuruhan dimulai oleh supporter yg tdk taat aturan, rusuh ke lapangan, dihalau gas…"
156,aalsatriia,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
157,HeiiRyu,"Segelzzz.
belum d minum, kok nunjuk arema? Kalo kita yg nuduh gitu k aparat kira* gmana ya? apakah di jemput?
berhubung itu d segel bisa jadi punya siapa aja.
kalo emang diminum pun kenapa? saya belum pernah liat org rusuh d club malam di tembak gas air mata. padahal rame jga https://t.co/2CoEwW5THt"
158,11Nayaka,"@detikcom Walahhh Pak Pak...iku lo ngawe pentungan wae lo wis buyar...
Efek penanganan yang ngak itung2 sebab akibat....
Heee klo pakai pentungan paling yang babak bunyak yang emang bikin rusuh..kalau pakai gas air mata efek nya semua penonton dan aparat itu sendiri..lakok ngak bisa mikir"
159,tod0000000,"@deadramizm @mbaupeh Kalo suporter ga lebih dl anarkis, polisi jg ngapain pake gas air mata. Apa susahnya tinggal mengakui ""ohiya suporter juga salah karena selama ini kami rusuh. Kami akan perbaiki semoga kedepanny tidak ada anarkisme lagi"". Pihak lain pun sama bgitu. Gabisa?"
160,hariutomo05,"@yuwantino12 @FrankSudiro @perupadata @ainunnajib @Metro_TV @jokowi @lis @mohmahfudmd kalau gak ada gas air mata, gak akan ada kepanikan.
simpel kok !!

contoh terdekat: Ada yg ngamuk &amp; rusuh, ada yg masuk lapangan, bahkan ada yg ngrusak stadion, tapi Alhamdulillah gak ada korban jiwa:
https://t.co/2bJylR878j"
161,ray_sulton,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
162,kuroimugen,"RT @erasmus70: Jangan kasih ruang aparat yang menembak gas air mata ke tribun lolos! 

Jangan sampai semua korban dianggap tukang rusuh!

K…"
163,Mannul9,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
164,heyjodh,@azvinl @mbaupeh Nonton dangdut juga rusuh tapi ga ada gas air mata 😄
165,TianHaryono,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
166,JuandaFGultom,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
167,Oyon_Art,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
168,AkmalfaridAkma1,"RT @_melody_mellow: Terbukti &amp; Fakta bhw 125 lebih suporter Aremania adalah korban tewas akibat Gas Air Mata yg ditembakkan polisi

Tetap a…"
169,masnafiss,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
170,Rapsodj,@MinDesiyaa oh membenarkan respon aparat yg menembak gas air mata ke tribun pdhl mereka yg di tribun gk rusuh?
171,Sambo_Kaisar,"RT @_melody_mellow: Terbukti &amp; Fakta bhw 125 lebih suporter Aremania adalah korban tewas akibat Gas Air Mata yg ditembakkan polisi

Tetap a…"
172,aldhiraaa,"@jokowi boikot penggunaan gas air mata oleh polisi pak, terbukti gas air mata itu mematikan, masih ada cara lain utk bubarkan massa rusuh"
173,mohtahid,"RT @_melody_mellow: Terbukti &amp; Fakta bhw 125 lebih suporter Aremania adalah korban tewas akibat Gas Air Mata yg ditembakkan polisi

Tetap a…"
174,GarindraDC,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
175,t0n1h3r5_83,"RT @_melody_mellow: Terbukti &amp; Fakta bhw 125 lebih suporter Aremania adalah korban tewas akibat Gas Air Mata yg ditembakkan polisi

Tetap a…"
176,tarannisa2940,"@detikcom Masalahnya. Yg dianggap rusuh dan kewalahan itu di lapangan bolanya, kenapa gas air mata kearah tribun penonton. Dan masalah selanjutnya. Juklak dan juknis pertandingan harusnya sudah dipahami dan dikuasai teknisnya oleh panpel dan dikoordinasikan dg semua elemen pe..."
177,SinggiHahonk,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
178,MuhamadFarez3,@ChokySidabutar3 @taqw_ @hacetresiqus @abanggeutanyoe @dede_dedot96 Iya mas emg polisi salah nembak gas air mata. Tapi mau sampe kapan kalah harus rusuh. Mungkin intruksi atasan atau panpel biar stadion ga dibakar kaya bonek. Mau sampe kapan pemain harus pake rantis. Bayangin kalo pemain persebaya ke kepung ga pake rantis. Pasti ada korban jiwa
179,auliarizuki77,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
180,sup3r4banx,"RT @NyiMasRuminah: @liquiidcocaine @pandji Kejadian di Kanjuruhan dimulai oleh supporter yg tdk taat aturan, rusuh ke lapangan, dihalau gas…"
181,DianGara,"RT @Reiza_Patters: Menurut Pakar Hukum Prof Romli Atmasasmita, Tragedi di Kanjuruhan Bukan Peristiwa Pidana https://t.co/BJR16OPSPZ

Emang…"
182,boneksemampunya,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
183,Yunardi99,"RT @_melody_mellow: Terbukti &amp; Fakta bhw 125 lebih suporter Aremania adalah korban tewas akibat Gas Air Mata yg ditembakkan polisi

Tetap a…"
184,suryaayrusuya,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
185,h4pazy,"WOI POLISI YG KEMAREN NEMBAKIN GAS AIR MATA‼️ Kalau kalian nembakin gas air matake arah yg rusuh, mungkin masih bs dimaklumi walau itu salah, tp kalian nembakin nya ke TRIBUN, banyak anak kecil, ibu2, &amp; org tak bermasalah lainnya.
#KanjuruhanDisaster #UsutTuntasTragediKanjuruhan"
186,fatinpane,"RT @Reiza_Patters: Menurut Pakar Hukum Prof Romli Atmasasmita, Tragedi di Kanjuruhan Bukan Peristiwa Pidana https://t.co/BJR16OPSPZ

Emang…"
187,Khojan7,"@SumandoGaek Gunanya aparat pengamanan suporter itu ya bikin tenang penonton.
Klo ada suporter di anggap rusuh ya di amankan agar redam,jangan di bikin makin panik dg gas air mata."
188,5oul4ntidote,"RT @_melody_mellow: Terbukti &amp; Fakta bhw 125 lebih suporter Aremania adalah korban tewas akibat Gas Air Mata yg ditembakkan polisi

Tetap a…"
189,ntasanusa,"RT @_melody_mellow: Terbukti &amp; Fakta bhw 125 lebih suporter Aremania adalah korban tewas akibat Gas Air Mata yg ditembakkan polisi

Tetap a…"
190,_melody_mellow,"Terbukti &amp; Fakta bhw 125 lebih suporter Aremania adalah korban tewas akibat Gas Air Mata yg ditembakkan polisi

Tetap aja suporter Arema yg disalahkan.
Ruwet &amp; ber-tele² ngikuti mindset polisi ! 

Suporter turun ke lapangan utk ucapkan selamat ke pemain, bukan utk bikin rusuh https://t.co/S3M84CUN6e"
191,rizkyluhur,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
192,sijadaeng,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
193,27Rianto,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
194,ganangrj,"Ngikuti logika presiden yang ini artinya kalo ada rusuh di GBK, bebas ditembaki gas air mata sebanyak apapun jumlahnya, karena pintunya banyak 15 menit bisa keluar semua, hih nggilani."
195,smq9112001,"@jokowi kalo Tribun tidak ditembaki dengan gas air mata, secara yg rusuh di lapangan. Anak wanita tidak jadi korban sia2, yg harusnya diusut bukan stadiun nya pak. Juga mengapa pintu dikunci yg biasanya 15 menit sebelum usai dibuka https://t.co/MlWoBMNzhz"
196,GuiliAnemoBoy,RT @khaidir_Tr: @jayapuraupdate @maspiyuaja Itu foto lama min di GBK waktu Persija vs Arema. Gak usah jauh jauh min ini vidio belum ada seb…
197,desita5769,"Anak2 Ibu2 Bpk2 beserta keluarga besar mrk sedang berbahagia tanpa dosa, bukan sedang rusuh.....dgn teganya kalian siksa dan bunuh dgn Gas Air Mata....!!!
Dimana hati nurani kalian...?? 
@DivHumas_Polri @indo_pol @ListyoSigitP @Puspen_TNI 
Knp harus dgn Gas Air Mata...?? https://t.co/GVrslSXzzn"
198,Bacod699,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
199,Gondez97421354,"@CNNIndonesia Beladiri apanya bos,, yg d tribun kaga rusuh kalian tembak Gas air mata, kan KEHED."
200,miripmzyud,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
201,mzwidodo,"@lordtoro123 @mbaupeh Iya mas, dari dulu penonton rusuh sdh biasa. 
Paling mereka gak lama melampiaskan kekecewaan. Kenapa yg kanjuruan hrs pakai gas air mata."
202,20Rebirth,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
203,vidairwan,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
204,samsudin1067,"RT @brader_akbar: @knpiharis Yg rusuh suporter, kenapa Ade Armando yg mau ditangkap ? 
Walaupun penggunaan gas air mata didalam stadion dil…"
205,m_y_fkr,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
206,Dicky_fa,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
207,w1ld_4nt,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
208,__R3mindM3__,"Bisa gitu ya ?
Kek dah paham bakal rusuh.
Dah ""bersiap"" dengan gas air mata ?

Data terbaru kepolisian, korban meninggal Kanjuruhan 131. 

Realnya ?
Lebih banyakkah ?

https://t.co/aw7tr82PXC

** https://t.co/nI6q4dOrY0"
209,MimpiKotak,"@Chusnuddin99 @persebayaupdate Rusuh apaaan cuman pitch invader, banyak noh picth invader tapi ga di tembakin gas air mata di tribun lg"
210,Basyaruddin_,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
211,FadlyPradana,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
212,AlFatih32007333,Biadab kan..penonton di tribun yg gak rusuh malah di tembaki gas air mata dan ketika hendak menyelamatkan diri justru pintu keluar stadion di kunci.berarti kan seakan di sengaja.kemudian yg seragam loreng yg seperti preman bukan TNI tapi POLISI..ada apa semua itu..??? https://t.co/tLVqfXaWFR
213,su_kitman,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
214,joriz_ariz,"@KaDRuN_ToL0L Aremania cabang twitter : Yg rusuh adalah Aremania yg di lapangan. Yg di tribun adalah Aremania yg gak salah. Jadi jangan pukul rata bahwa semua aremania salah!
Aremania cabang twitter (juga) : Yang menembaki gas air mata adalah sebagian polisi. Tapi semua polisi adalah pembunuh!"
215,recoffeelatte,"@CNNIndonesia Aduh ngeles mulu dah, yang ditembak gas air mata padahal di tribun yang banyak anak kecil. Anda bela diri dari siapa sih kalo nembakin gas air matanya ke tribun? Orang yang di tribun gak rusuh loh. Makin lama makin ngeselin ya ngelesnya"
216,gppsyg,RT @khaidir_Tr: @jayapuraupdate @maspiyuaja Itu foto lama min di GBK waktu Persija vs Arema. Gak usah jauh jauh min ini vidio belum ada seb…
217,mayuriyuna,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
218,Mangomo9,"@WardanaAgit @Ndaxwz Di tribun perusuh malah mengajak penonton lainnya untuk menyerang balik aparat, akhirnya aparat menembakan gas air mata ke tribun, jika tdk begitu suasan lebih tdk terkendali. Jika aparat dilarang menggunakan gas air mata, bagaimana mengendalikan situasi? Kenapa supporter rusuh?"
219,angginovita93,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
220,TommyWilliam15,"@CNNIndonesia Yang rusuh di lapangan, tapi kenapa yg di tembakin gas air mata di tribun? apa gk mikir di tribun banyak anak2, wanita, remaja? apalagi situasi desak""an. mau bela diri kayak apapun tapi ingat ada puluhan ribu saksi mata di TKP."
221,kahfikurnia97,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
222,Az_Al_Ha,"@mbaupeh Ada 2 kebodohan sih di tragedi ini

1. Yang bilang aparat wajar pake gas air mata
2. Yang bilang pitch invader/rusuh dalam sepak bola itu suatu hal yang biasa"
223,fadhurrozi1,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
224,EmilianFaiz,"@ghinacaturyna Kesalahan utamanya adalah penanganan nya dengan gas air mata yg disemprot ke tribun yg ga rusuh, itu bikin pada berebut lari keluar"
225,BudianaPangestu,"RT @Reiza_Patters: Menurut Pakar Hukum Prof Romli Atmasasmita, Tragedi di Kanjuruhan Bukan Peristiwa Pidana https://t.co/BJR16OPSPZ

Emang…"
226,trah1967,"RT @Reiza_Patters: Menurut Pakar Hukum Prof Romli Atmasasmita, Tragedi di Kanjuruhan Bukan Peristiwa Pidana https://t.co/BJR16OPSPZ

Emang…"
227,PATRIOT02646032,"RT @Phonodude: Suporter rusuh dan masuk lapangan sdh sering. Baru 2 minggu lalu kejadian lagi, tapi semua kejadian itu gak ada korban ratus…"
228,icecigarr,"@memefess rusuh dilapangan itu salah.
ratusan nyawa melayang disebabkan oleh gas air mata."
229,Imam_Nug,"@VeritasArdentur plus ada lemparan benda2 ke bawah berdasarkan kesaksian yg ada disana. Intinya, ga ada pitch invader, ga ada rusuh, ga ada gas air mata. Gitu aja kalo saya."
230,dede_dedot96,"@Imam_Nug @bdlsmn @RevFinal @besarwicaks @LloydTwilight @ChimJiminiee @AdiUtomoPutro @GamutuFc @astisaa @sdenta - Pitch Invander
- Rusuh
- TIDAK ADA GAS AIR MATA
- TIDAK ADA KORBAN NYAWA

LU GAK FOKUS KE PENYEBAB KEMATIANNYA !! GAK USAH BANYAK TEORI LU https://t.co/TYajUAKJP7"
231,kadangteledor,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
232,Imam_Nug,"@bdlsmn @RevFinal @besarwicaks @LloydTwilight @ChimJiminiee @dede_dedot96 @AdiUtomoPutro @GamutuFc @astisaa @sdenta yg pertama dilarang itu pitch invader kalo mau sama2 pake aturan FIFA.
ga ada pitch invader, ga ada rusuh, ga ada gas air mata.

pahami itu dulu."
233,itsaaletheia,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
234,sirubahgurun,"@Dulkmit_ @Cahangon0007 @dede_dedot96 @abanggeutanyoe Nyawa melayang apa karna rusuh? Tentu tidak, mereka yg jadi korban karna gas air mata. Wajahnya membiru  dan tidak ada luka memar sebagaimana kalo rusuh. Dasar buzzerrp. Fokus sama penyebab kematian korban bukan malah melebar ke yg lain. Dibayar brp lu?"
235,arief_reza321,@DavidCahya28 @AminKank @STono99 @KaDRuN_ToL0L Arema kalah (permainan kalah dari tim lawan) &gt; suporter ga bisa terima (mental jelek) &gt; geruduk masuk lapangan (melanggar aturan) &gt; bikin rusuh (melanggar aturan) &gt; polisi mengamankan (tugasnya) &gt; nembak gas air mata (melanggar aturan) . Bisa dilihat runtutannya ....
236,Kaneki73258644,"@DavidCahya28 @AminKank @STono99 @KaDRuN_ToL0L Rumah abang dimana? 
Biar rusuh aku di rumah abng, boleh kok lempar gas air mata.."
237,HancelGoruDolu,RT @khaidir_Tr: @jayapuraupdate @maspiyuaja Itu foto lama min di GBK waktu Persija vs Arema. Gak usah jauh jauh min ini vidio belum ada seb…
238,mahasiswasepuh,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
239,Andrijsaputra_,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
240,YusraMahendra09,"RT @Phonodude: Suporter rusuh dan masuk lapangan sdh sering. Baru 2 minggu lalu kejadian lagi, tapi semua kejadian itu gak ada korban ratus…"
241,leftistindo,RT @khaidir_Tr: @jayapuraupdate @maspiyuaja Itu foto lama min di GBK waktu Persija vs Arema. Gak usah jauh jauh min ini vidio belum ada seb…
242,gur_ita,"Seperti sudah disetting, meski suporter yang rusuh ada di lapangan tapi gas air mata ditembakkan ke tribun yang dekat dengan gate 12, 13, 14 yang terkunci

Bukan lagi mencari fakta kronologis tapi siapa otak siapa dalang dari tragedi kanjuruhan ini. Sudah bisa ditebak sebenarnya"
243,rijal_yusril,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
244,raihanraaa,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
245,kuroimugen,RT @DhafWidiaw: @txtdrimedia Kejadian 2016 sampe sekarang ga ada perubahan soal gas air mata....dengan alesan rusuh..hadeuh rusuh yg kayak…
