,user_name,teks
0,sasaranbina,"@vanrinaldy @abolzmibcolz @rmhrnir @detikcom @detik_jatim Yang bela support er rusuh siapa mas. Hahaha. Udah dikasih contoh loh, murid pukul guru. Masa iya belain murid. Hahaha. Wadoooh.. Saya bela korban tribun, emak2 anak2 mati. Akibat tindakan gak bener aparat. Mati brooo 200 orang. Padahl udah di info jgn tembak banyak anak2. https://t.co/FBfwCZwuRB"
1,CatatanDree,"@dede_dedot96 @astisaa Udah liat belum supporter sampean yg pukul pemain?itu kasih support? Lemparin baracuda isi pemain persebaya itu juga gentle? Gak usah ngerasa paling bener…semua salah supporter salah,panpel salah,aparat juga salah, apalagi pssi dan harus ada yg bertanggung jawab"
2,rdhnthp,"Dr mana dasar argumen supporter 'tdk terorganisir'?Dateng bareng2 bawa alat tabuh buat kasih support, nyanyi2 lagu seragam bareng2, liat temennya kena pukul aparat terus ambil inisiatif bantuin/melawan. Dr mana makna 'tdk terorganisir'nya?cont. https://t.co/VQRFcsaWQO"
3,fathirramadhann,@Momooo1717 @stunofthundra seng mudun lapangan iku ngekeki support nang pemaine deloken kiper e arema maringa opo iyo di serang seng diberitani ndek tv ? kabeh podo ngerangkul maringa pemain e arema laine. terus di pukul mundur aparat karo tindakan kekerasan opo iyo kene kudu meneng ae lak di antemi ?
4,Igumiyeyo,"@riskisyahptra Dan supporter turun ke lapangan itu bukan kali ini aja terjadi, mereka kadang cuma ingin bersalaman, berfoto, atau memberikan support dg memeluk anggota tim. Kalau aparat pukul mundurnya manusiawi, yg lain nggak akan terpancing turun"
5,ciboyss,@kitapukon16 @NugrahaAditya @masbudisam @tirta_cipeng supporter gaada yg mau berurusan sama aparat. mereka turun untuk bertemu pemain tim yg di support. gapernah terjadi pemukulan atau apapun. yg ada malah aparat sangat bodoh tidak punya decision making yg cerdas main pukul dan keroyok padahal supporter yg turun 1 vs 10 aparat haha
6,kharismakhuma,"@Mohaminojol @hey_andrian @MataNajwa Niatnya mau ngasih support sama motivasi mas, intinya cuman mau bilang gapapa kalah gitulah pokoknya. Trus yang laen ikut turun karna salah paham, abistu aparatnya maen tendang pukul sehingga suporter yang lain ngamuk. Jadi ngamuknya gara2 aparat yang mukul gitu."
